Shop: A Pop Opera	Jack Stauber's Micropop	https://lastfm.freetls.fastly.net/i/u/300x300/808af3fe06a0dbc22fa092a31833892f.jpg	8.0	275158.0	1583614800000.0	"[""electronic"",""indie"",""indie pop"",""chiptune"",""under one minute"",""under two minutes"",""under a minute"",""synthpop"",""experimental"",""pop"",""rock"",""under 2 minutes"",""shorter than 1 minute"",""less than 1 minute"",""bedroom pop"",""jingles""]"
Outer Wilds (Original Soundtrack)	Andrew Prahlow	https://lastfm.freetls.fastly.net/i/u/300x300/461bff778a1e614537f0cf68b5265382.jpg	28.0	113709.0	1559336400000.0	"[""vgm"",""ambient"",""soundtrack"",""folk"",""acoustic"",""instrumental"",""video game music"",""post-rock"",""folktronica"",""dark ambient"",""usa"",""drone"",""progressive electronic"",""space ambient""]"
Amelie From Montmartre	Yann Tiersen	https://lastfm.freetls.fastly.net/i/u/300x300/6aa95b836e234c4a93f8e93e594a5c3e.jpg	20.0	390547.0	987969600000.0	"[""soundtrack"",""instrumental"",""piano"",""french"",""amelie"",""accordion"",""yann tiersen"",""ambient"",""classical"",""beautiful"",""chanson"",""waltz"",""soundtracks"",""i"",""all time favourite"",""favourite albums""]"
Cyberpunk 2077 - Original Score	Marcin Przybyłowicz	https://lastfm.freetls.fastly.net/i/u/300x300/df67df1bd37dced4cfbd1bddc28226b8.jpg		129903.0		"[""soundtrack"",""game"",""cyberpunk"",""2070s""]"
FINAL FANTASY VII REMAKE Original Soundtrack	Square Enix Music	https://lastfm.freetls.fastly.net/i/u/300x300/c18ce9723f69ef317f176ae42349e42a.jpg	156.0	80071.0	1590526800000.0	"[""soundtrack"",""video game music"",""final fantasy"",""japanese"",""video games"",""videogame soundtrack"",""ff7"",""video game soundtrack"",""game music"",""instrumental"",""composer"",""ff vii"",""thrash metal"",""ambient"",""classical"",""orchestral""]"
The Virgin Suicides	Air	https://lastfm.freetls.fastly.net/i/u/300x300/712d803047384a34bd3159a38cd492cd.jpg	13.0	498750.0	915148800000.0	"[""electronic"",""chillout"",""ambient"",""soundtrack"",""french"",""piano"",""electronica"",""instrumental"",""mellow"",""downtempo"",""slow"",""air"",""soundtrackgdchill"",""chill"",""2000"",""trip-hop""]"
Eternal Sunshine of the Spotless Mind	Various Artists	https://lastfm.freetls.fastly.net/i/u/300x300/1a0a597a9e7f480fa8d3dcb02916e29c.jpg	26.0	273730.0	1079384400000.0	"[""soundtrack"",""movie soundtracks"",""soundtracks"",""ost"",""movie"",""movies"",""movie soundtrack"",""jim carrey"",""my special movies soundtrack""]"
La La Land (Original Motion Picture Soundtrack)	Various Artists	https://lastfm.freetls.fastly.net/i/u/300x300/80344b308c142aaa4d072cd2c337a76d.jpg		166610.0		"[""jazz"",""soundtrack"",""musical"",""la la land"",""2016""]"
Stranger Things, Vol. 1 (A Netflix Original Series Soundtrack)	Kyle Dixon & Michael Stein	https://lastfm.freetls.fastly.net/i/u/300x300/7d96efa8c4124b672771df392f105742.jpg	36.0	241242.0	1470862800000.0	"[""soundtrack"",""synthwave"",""ambient"",""electronic"",""soundtrackgdchill"",""stranger things"",""beautiful"",""masterpiece"",""television music"",""nostalgia"",""2016"",""original soundtrack"",""soundtracks"",""instrumental"",""upside down"",""synth""]"
Suicide Squad: The Album	Various Artists	https://lastfm.freetls.fastly.net/i/u/300x300/7ecc12622843ce2df7dd7b54dbbd4779.jpg	14.0	373965.0	1470344400000.0	"[""classic rock"",""rap"",""hip-hop"",""alternative"",""rock"",""60s"",""eminem"",""southern rock"",""hip hop"",""electronic"",""pop"",""rnb"",""funk"",""00s"",""soul"",""political""]"
