@RELATION soundtracks

@ATTRIBUTE Title STRING
@ATTRIBUTE Author STRING
@ATTRIBUTE Length NUMERIC
@ATTRIBUTE Listeners NUMERIC
@ATTRIBUTE Released NUMERIC
@ATTRIBUTE Cover STRING
@ATTRIBUTE Genre {pop, hip-hop, rock, rhythm-blues, soul, country, funk, folk, jazz, disco, instrumental, ai, blues, electronic, ambient, punk, opera, alternative, anime, soundtrack}
@ATTRIBUTE Single {0, 1}
@ATTRIBUTE Album {0, 1}
@ATTRIBUTE EP {0, 1}

@DATA
'Friday Night Funkin\', Vol. 1 (Original Game Soundtrack)','Kawai Sprite',0.4939471663018722,0.050352628077178975,0.5714285714286689,../files/images/47894f93d31468688739e54c203499d4.jpg,electronic,0,1,0
'Taxi Driver','Bernard Herrmann',0.28672745070657935,0.1327840615066164,0.5714285714286689,../files/images/f6f8fefd97994b6aabaa2bbe4f80aca9.jpg,jazz,0,1,0
'Ratatouille (Original Motion Picture Soundtrack)','Michael Giacchino',0.44269551713242217,0.16098543653433872,0.5714285714286689,../files/images/5a6368348d88b92c4fe17fddabf3d1e8.jpg,folk,0,1,0
Battlecry,'Two Steps from Hell',0.4569554282116728,0.0853589118060176,0.5714285714286689,../files/images/781794382201798151f0cc29aefb6feb.jpg,instrumental,0,1,0
'Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By)',Rihanna,0.0,0.24279810748872624,0.5714285714286689,../files/images/6ebe87d735de04bbdf952438934888a0.jpg,soundtrack,1,0,0
'Rocky IV','Various Artists',0.28672745070657935,0.2736682191173209,0.5714285714286689,../files/images/5d8325e724069cd69ab09b3765dd7f3f.jpg,soundtrack,0,1,0
'Iron Man 2',AC/DC,0.3589625931125973,0.1630849412286538,0.5714285714286689,../files/images/20329401bb0a4b71cb4c5cabd3d6269f.jpg,rock,0,1,0
'Across the Universe','Various Artists',0.37046037472640414,0.3115539291786797,0.5714285714286689,../files/images/c064043b8bd34db0a2d4d5dd4a4e7438.jpg,pop,0,1,0
'VIOLET EVERGARDEN: Automemories','Evan Call',0.5624315642390667,0.04305167442891994,0.5714285714286689,../files/images/70b99cf8332ede3541f115c5e6c3a873.jpg,pop,0,1,0
'Popstar: Never Stop Never Stopping','The Lonely Island',0.47015804371395975,0.08050417683152214,0.5714285714286689,../files/images/7c906a17b442f34376c75db71e38fef6.jpg,pop,0,1,0
'The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack)','Various Artists',0.39144386796297204,0.11722111332889776,0.5714285714286689,../files/images/a8861d697a93107bdad69322ad228946.jpg,soundtrack,0,1,0
'First Man (Original Motion Picture Soundtrack)','Justin Hurwitz',0.5149306595384401,0.17552746359133584,0.5714285714286689,../files/images/4092630deb1e3cce4eaeade6bbd8f646.jpg,instrumental,0,1,0
'DEATH NOTE original soundtrack',平野義久,0.48244938468806536,0.0021002439565313818,0.5714285714286689,../files/images/0fe805e109d46df86fb76a71f80c02f2.jpg,rock,0,1,0
'Fight Songs: The Music Of Team Fortress 2','Valve Studio Orchestra',0.4764096950474353,0.06049678420935906,0.5714285714286689,../files/images/3f1306ad4ce1471db50fa1764be862da.jpg,rock,0,1,0
'Chicago - Music From The Miramax Motion Picture','Various Artists',0.39144386796297204,0.11146965328602056,0.5714285714286689,../files/images/5f60f4783c4c52c70bb788b7a8e87055.jpg,soundtrack,0,1,0
'Top Gun: Maverick (Music from the Motion Picture)','Lady Gaga',0.31920872555695406,0.12420935905965846,0.5714285714286689,../files/images/8e392eb741af2d6b8fe765468a8ecc3e.jpg,rock,0,1,0
